snapshot pock_volume pock_asa pock_pol_asa pock_apol_asa pock_asa22 pock_pol_asa22 pock_apol_asa22 nb_AS mean_as_ray mean_as_solv_acc apol_as_prop mean_loc_hyd_dens hydrophobicity_score volume_score polarity_score charge_score prop_polar_atm as_density as_max_dst convex_hull_volume nb_abpa ALA ARG ASN ASP CYS GLN GLU GLY HIS ILE LEU LYS MET PHE PRO SER THR TRP TYR VAL
37 359.38 303.04 90.22 212.82 160.39 38.29 122.10 35 4.13 0.37 0.74 20.23 41.73 4.18 4 0 31.58 3.88 9.01 10.02 1   1   0   0   1   1   1   0   0   0   0   2   1   1   1   0   0   1   0   0   1
38 474.95 308.07 113.64 194.43 163.73 64.34 99.39 89 4.10 0.34 0.54 36.88 41.73 4.33 6 1 37.50 4.13 8.97 45.68 3   1   1   0   1   1   1   0   0   0   0   4   1   2   0   0   0   2   0   0   1
39 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0 0.00 0.00 0.00 0.00 0.00 0.00 0 0 0.00 0.00 -1.00 0.00 0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
40 710.42 344.79 139.49 205.30 242.72 116.57 126.15 24 4.25 0.37 0.58 11.71 24.12 3.44 7 -1 40.00 4.21 9.58 33.82 3   1   0   0   2   1   1   0   2   0   0   2   1   2   0   0   1   2   0   0   1
41 180.91 157.55 34.38 123.18 112.08 6.96 105.12 40 4.12 0.45 0.60 17.42 51.12 3.75 2 0 30.77 0.99 6.13 1.69 3   1   0   0   0   0   1   0   1   0   0   3   0   1   0   0   0   1   0   0   0
42 337.69 219.39 119.15 100.23 143.66 93.96 49.69 49 3.97 0.45 0.59 23.59 38.55 3.82 4 -2 43.75 1.23 6.29 4.10 3   1   0   0   2   1   1   0   0   0   0   3   0   1   0   0   0   1   0   0   1
43 345.63 234.93 57.90 177.03 170.61 36.52 134.09 30 4.04 0.47 0.83 16.00 48.85 3.92 4 -1 33.33 2.63 11.30 18.77 4   1   0   0   1   0   1   0   1   0   0   5   0   2   0   0   0   2   0   0   0
44 228.55 198.59 78.33 120.27 97.54 40.00 57.54 14 3.93 0.40 0.57 3.00 42.92 4.25 5 0 35.71 4.77 9.43 3.00 2   1   0   0   1   0   1   0   0   0   0   4   1   2   0   0   0   2   0   0   0
45 110.61 96.96 39.64 57.31 32.34 20.87 11.47 18 3.75 0.38 0.67 9.50 45.17 4.50 3 1 27.27 1.68 2.86 0.22 1   0   0   0   0   0   0   0   0   0   0   2   1   1   0   0   0   2   0   0   0
46 450.31 341.74 130.98 210.76 178.99 85.24 93.76 60 3.88 0.36 0.57 23.00 35.54 4.08 6 -1 35.71 4.35 12.62 55.84 3   1   0   0   2   0   1   0   0   0   0   4   1   1   0   0   0   2   0   0   1
47 447.80 291.76 87.12 204.64 150.71 41.76 108.95 51 4.06 0.41 0.78 20.50 42.21 4.00 5 0 26.92 4.99 11.71 39.38 2   1   0   0   1   0   1   0   1   0   0   4   1   2   0   0   0   2   0   0   1
48 386.28 240.86 68.91 171.96 110.10 27.91 82.19 30 4.02 0.41 0.57 6.59 47.93 4.00 4 0 33.33 4.95 12.89 26.10 2   1   0   0   1   1   0   0   1   0   0   5   1   2   0   0   0   2   0   0   0
49 304.62 217.30 78.26 139.04 109.67 31.30 78.37 39 3.91 0.42 0.51 12.40 39.00 4.23 6 -1 36.84 3.72 9.01 20.03 3   1   0   0   1   0   1   1   0   0   0   5   1   1   0   0   0   2   0   0   0
